what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1295042266099
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295042314556
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295042408740
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295042411288
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295042428643
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295042433112
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1295042596345
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1295042602815
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1295042605151
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1295042605263
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295042610114
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1295042610116
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295042655678
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295042655831
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295042662938
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295042686160
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295042693104
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295042708497
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295042725189
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295042726258
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295042758122
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295042758826
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295042759580
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295042768923
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295042769996
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295042813246
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.smartEnter",1295042951752
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1295043032393
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295043034526
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295043035477
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295043035735
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1295043036007
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1295043036008
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1295043036008
