what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1295131689357
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1295131689357
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1295131689357
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1295131689357
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1295131689357
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1295131689357
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1295131689357
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1295131689373
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1295131689373
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1295131689373
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1295131689373
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1295131689373
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1295131689373
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1295131689373
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1295131689373
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1295131689373
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1295131689373
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1295131689373
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1295131689373
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1295131689373
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1295131689373
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1295131689373
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1295131689373
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1295131689373
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1295131689373
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1295131689373
os,sysinfo,,,"win32",1295131689388
arch,sysinfo,,,"x86",1295131689388
ws,sysinfo,,,"win32",1295131689388
locale,sysinfo,,,"en_US",1295131689388
processors,sysinfo,,,"2",1295131689388
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1295131689388
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1295131689388
java.specification.name,sysinfo,,,"Java Platform API Specification",1295131689388
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295131689388
java.specification.version,sysinfo,,,"1.6",1295131689388
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1295131689388
java.version,sysinfo,,,"1.6.0_23",1295131689388
java.vm.info,sysinfo,,,"mixed mode, sharing",1295131689388
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1295131689388
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295131689388
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295131689388
java.vm.specification.version,sysinfo,,,"1.0",1295131689388
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1295131689388
java.vm.version,sysinfo,,,"19.0-b09",1295131689388
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1295131796514
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1295131796732
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1295131796826
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295131797731
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295131882533
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295131924966
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295131925060
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295131926807
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295131952611
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1295131964218
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295131977618
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295131978929
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295131979459
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295131991706
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295132098104
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295132107479
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295132107511
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295132110085
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295132110116
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295132111395
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295132120927
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295132212780
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295132218006
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295155260009
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295155270367
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295155272738
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295155297574
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295155350756
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295155964660
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295165993250
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295166005808
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295166012094
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295166013171
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295166013342
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1295166013670
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1295166013686
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1295166013701
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1295166013717
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1295204266035
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1295204266035
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1295204266035
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1295204266035
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1295204266035
