what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295045458369
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295045473859
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295045474210
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295045475818
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295045661735
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295045832852
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295049722155
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295049757351
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295049758021
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295049759251
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1295049810381
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1295049810396
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1295049811003
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295049819407
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295049868393
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295049882560
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295049885431
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295049948560
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295049975189
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295049977068
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295050007746
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295050013075
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295050016467
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295050568459
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295050572853
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295050601780
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295050608038
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295050612932
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295050617916
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295050621218
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1295050661202
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1295050661444
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1295050661530
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295050663907
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1295050663907
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295050754912
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295051226498
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295051421871
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295051879034
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1295051891666
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.openProject",1295051896230
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1295051905115
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1295051911008
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295051933013
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295051947161
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295052008288
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1295052017803
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295052021103
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295052029355
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295052029786
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295052029934
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1295052032159
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295052041802
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295052078526
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295052089525
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295052102033
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1295052120837
